Indicator,Country,Year,Tax (% of GDP
Taxes on Energy (including fuel for transport),Trinidad and Tobago,2015,0.06
Taxes on Energy (including fuel for transport),Trinidad and Tobago,2016,0.09
Taxes on Energy (including fuel for transport),Trinidad and Tobago,2017,0.07
Taxes on Energy (including fuel for transport),Trinidad and Tobago,2018,0.06
Taxes on Energy (including fuel for transport),Trinidad and Tobago,2019,0.01
Taxes on Energy (including fuel for transport),Trinidad and Tobago,2020,0
Taxes on Pollution,Trinidad and Tobago,1995,0
Taxes on Pollution,Trinidad and Tobago,1996,0
Taxes on Pollution,Trinidad and Tobago,1997,0
Taxes on Pollution,Trinidad and Tobago,1998,0
Taxes on Pollution,Trinidad and Tobago,1999,0
Taxes on Pollution,Trinidad and Tobago,2000,0
Taxes on Pollution,Trinidad and Tobago,2001,0
Taxes on Pollution,Trinidad and Tobago,2002,0
Taxes on Pollution,Trinidad and Tobago,2003,0
Taxes on Pollution,Trinidad and Tobago,2004,0
Taxes on Pollution,Trinidad and Tobago,2005,0
Taxes on Pollution,Trinidad and Tobago,2006,0
Taxes on Pollution,Trinidad and Tobago,2007,0
Taxes on Pollution,Trinidad and Tobago,2008,0
Taxes on Pollution,Trinidad and Tobago,2009,0
Taxes on Pollution,Trinidad and Tobago,2010,0
Taxes on Pollution,Trinidad and Tobago,2011,0
Taxes on Pollution,Trinidad and Tobago,2012,0
Taxes on Pollution,Trinidad and Tobago,2013,0
Taxes on Pollution,Trinidad and Tobago,2014,0
Taxes on Pollution,Trinidad and Tobago,2015,0
Taxes on Pollution,Trinidad and Tobago,2016,0
Taxes on Pollution,Trinidad and Tobago,2017,0
Taxes on Pollution,Trinidad and Tobago,2018,0
Taxes on Pollution,Trinidad and Tobago,2019,0
Taxes on Pollution,Trinidad and Tobago,2020,0
Taxes on Resources,Trinidad and Tobago,1995,0
Taxes on Resources,Trinidad and Tobago,1996,0
Taxes on Resources,Trinidad and Tobago,1997,0
Taxes on Resources,Trinidad and Tobago,1998,0
Taxes on Resources,Trinidad and Tobago,1999,0
Taxes on Resources,Trinidad and Tobago,2000,0
Taxes on Resources,Trinidad and Tobago,2001,0
Taxes on Resources,Trinidad and Tobago,2002,0
Taxes on Resources,Trinidad and Tobago,2003,0
Taxes on Resources,Trinidad and Tobago,2004,0
Taxes on Resources,Trinidad and Tobago,2005,0
Taxes on Resources,Trinidad and Tobago,2006,0
Taxes on Resources,Trinidad and Tobago,2007,0
Taxes on Resources,Trinidad and Tobago,2008,0
Taxes on Resources,Trinidad and Tobago,2009,0
Taxes on Resources,Trinidad and Tobago,2010,0
Taxes on Resources,Trinidad and Tobago,2011,0
Taxes on Resources,Trinidad and Tobago,2012,0
Taxes on Resources,Trinidad and Tobago,2013,0
Taxes on Resources,Trinidad and Tobago,2014,0
Taxes on Resources,Trinidad and Tobago,2015,0
Taxes on Resources,Trinidad and Tobago,2016,0
Taxes on Resources,Trinidad and Tobago,2017,0
Taxes on Resources,Trinidad and Tobago,2018,0
Taxes on Resources,Trinidad and Tobago,2019,0
Taxes on Resources,Trinidad and Tobago,2020,0
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,1995,0.41
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,1996,0.5
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,1997,0.56
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,1998,0.57
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,1999,0.69
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2000,0.47
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2001,0.39
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2002,0.38
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2003,0.3
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2004,0.24
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2005,0.22
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2006,0.21
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2007,0.25
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2008,0.21
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2009,0.27
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2010,0.27
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2011,0.26
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2012,0.32
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2013,0.31
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2014,0.32
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2015,0.36
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2016,0.38
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2017,0.27
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2018,0.21
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2019,0.19
Taxes on Transport (excluding fuel for transport),Trinidad and Tobago,2020,0.15
Environmental Taxes,Tunisia,2000,1.76
Environmental Taxes,Tunisia,2001,1.79
Environmental Taxes,Tunisia,2002,1.74
Environmental Taxes,Tunisia,2003,1.55
Environmental Taxes,Tunisia,2004,1.49
Environmental Taxes,Tunisia,2005,1.45
Environmental Taxes,Tunisia,2006,1.39
Environmental Taxes,Tunisia,2007,1.37
Environmental Taxes,Tunisia,2008,1.3
Environmental Taxes,Tunisia,2009,1.29
Environmental Taxes,Tunisia,2010,1.31
Environmental Taxes,Tunisia,2011,1.11
Environmental Taxes,Tunisia,2012,1.18
Environmental Taxes,Tunisia,2013,1.18
Environmental Taxes,Tunisia,2014,1.19
Environmental Taxes,Tunisia,2015,1.27
Environmental Taxes,Tunisia,2016,1.51
Environmental Taxes,Tunisia,2017,1.57
Environmental Taxes,Tunisia,2018,1.52
Environmental Taxes,Tunisia,2019,1.37
Taxes on Energy (including fuel for transport),Tunisia,2000,0.88
Taxes on Energy (including fuel for transport),Tunisia,2001,0.85
Taxes on Energy (including fuel for transport),Tunisia,2002,0.83
Taxes on Energy (including fuel for transport),Tunisia,2003,0.76
Taxes on Energy (including fuel for transport),Tunisia,2004,0.71
Taxes on Energy (including fuel for transport),Tunisia,2005,0.64
Taxes on Energy (including fuel for transport),Tunisia,2006,0.57
Taxes on Energy (including fuel for transport),Tunisia,2007,0.54
Taxes on Energy (including fuel for transport),Tunisia,2008,0.47
Taxes on Energy (including fuel for transport),Tunisia,2009,0.44
Taxes on Energy (including fuel for transport),Tunisia,2010,0.41
Taxes on Energy (including fuel for transport),Tunisia,2011,0.39
Taxes on Energy (including fuel for transport),Tunisia,2012,0.36
Taxes on Energy (including fuel for transport),Tunisia,2013,0.33
Taxes on Energy (including fuel for transport),Tunisia,2014,0.33
Taxes on Energy (including fuel for transport),Tunisia,2015,0.34
Taxes on Energy (including fuel for transport),Tunisia,2016,0.68
Taxes on Energy (including fuel for transport),Tunisia,2017,0.69
Taxes on Energy (including fuel for transport),Tunisia,2018,0.67
Taxes on Energy (including fuel for transport),Tunisia,2019,0.62
Taxes on Pollution,Tunisia,2000,0.04
Taxes on Pollution,Tunisia,2001,0.04
Taxes on Pollution,Tunisia,2002,0.05
Taxes on Pollution,Tunisia,2003,0.04
Taxes on Pollution,Tunisia,2004,0.03
Taxes on Pollution,Tunisia,2005,0.03
Taxes on Pollution,Tunisia,2006,0.03
Taxes on Pollution,Tunisia,2007,0.03
Taxes on Pollution,Tunisia,2008,0.03
Taxes on Pollution,Tunisia,2009,0.03
Taxes on Pollution,Tunisia,2010,0.03
Taxes on Pollution,Tunisia,2011,0.03
Taxes on Pollution,Tunisia,2012,0.02
Taxes on Pollution,Tunisia,2013,0.05
Taxes on Pollution,Tunisia,2014,0.07
Taxes on Pollution,Tunisia,2015,0.09
Taxes on Pollution,Tunisia,2016,0.04
Taxes on Pollution,Tunisia,2017,0.01
Taxes on Pollution,Tunisia,2018,0.02
Taxes on Pollution,Tunisia,2019,0.01
Taxes on Resources,Tunisia,1995,0
Taxes on Resources,Tunisia,1996,0
Taxes on Resources,Tunisia,1997,0
Taxes on Resources,Tunisia,1998,0
Taxes on Resources,Tunisia,1999,0
Taxes on Resources,Tunisia,2000,0
Taxes on Resources,Tunisia,2001,0
Taxes on Resources,Tunisia,2002,0
Taxes on Resources,Tunisia,2003,0
Taxes on Resources,Tunisia,2004,0
Taxes on Resources,Tunisia,2005,0
Taxes on Resources,Tunisia,2006,0
Taxes on Resources,Tunisia,2007,0
Taxes on Resources,Tunisia,2008,0
Taxes on Resources,Tunisia,2009,0
Taxes on Resources,Tunisia,2010,0
Taxes on Resources,Tunisia,2011,0
Taxes on Resources,Tunisia,2012,0
Taxes on Resources,Tunisia,2013,0
Taxes on Resources,Tunisia,2014,0
Taxes on Resources,Tunisia,2015,0
Taxes on Resources,Tunisia,2016,0
Taxes on Resources,Tunisia,2017,0
Taxes on Resources,Tunisia,2018,0
Taxes on Resources,Tunisia,2019,0
Taxes on Resources,Tunisia,2020,0
Taxes on Transport (excluding fuel for transport),Tunisia,2000,0.84
Taxes on Transport (excluding fuel for transport),Tunisia,2001,0.9
Taxes on Transport (excluding fuel for transport),Tunisia,2002,0.86
Taxes on Transport (excluding fuel for transport),Tunisia,2003,0.75
Taxes on Transport (excluding fuel for transport),Tunisia,2004,0.76
Taxes on Transport (excluding fuel for transport),Tunisia,2005,0.78
Taxes on Transport (excluding fuel for transport),Tunisia,2006,0.78
Taxes on Transport (excluding fuel for transport),Tunisia,2007,0.79
Taxes on Transport (excluding fuel for transport),Tunisia,2008,0.8
Taxes on Transport (excluding fuel for transport),Tunisia,2009,0.82
Taxes on Transport (excluding fuel for transport),Tunisia,2010,0.87
Taxes on Transport (excluding fuel for transport),Tunisia,2011,0.69
Taxes on Transport (excluding fuel for transport),Tunisia,2012,0.8
Taxes on Transport (excluding fuel for transport),Tunisia,2013,0.8
Taxes on Transport (excluding fuel for transport),Tunisia,2014,0.79
Taxes on Transport (excluding fuel for transport),Tunisia,2015,0.85
Taxes on Transport (excluding fuel for transport),Tunisia,2016,0.79
Taxes on Transport (excluding fuel for transport),Tunisia,2017,0.86
Taxes on Transport (excluding fuel for transport),Tunisia,2018,0.83
Taxes on Transport (excluding fuel for transport),Tunisia,2019,0.74
Environmental Taxes,Turkey,1995,1.18
Environmental Taxes,Turkey,1996,1.77
Environmental Taxes,Turkey,1997,1.92
Environmental Taxes,Turkey,1998,1.79
Environmental Taxes,Turkey,1999,2.53
Environmental Taxes,Turkey,2000,2.41
Environmental Taxes,Turkey,2001,2.65
Environmental Taxes,Turkey,2002,3.45
Environmental Taxes,Turkey,2003,4
Environmental Taxes,Turkey,2004,3.5
Environmental Taxes,Turkey,2005,3.93
Environmental Taxes,Turkey,2006,3.1
Environmental Taxes,Turkey,2007,2.97
Environmental Taxes,Turkey,2008,3.22
Environmental Taxes,Turkey,2009,3.34
Environmental Taxes,Turkey,2010,3.71
Environmental Taxes,Turkey,2011,3.46
Environmental Taxes,Turkey,2012,3.25
Environmental Taxes,Turkey,2013,3.49
Environmental Taxes,Turkey,2014,3.25
Environmental Taxes,Turkey,2015,3.3
Environmental Taxes,Turkey,2016,3.26
Environmental Taxes,Turkey,2017,3.09
Environmental Taxes,Turkey,2018,2.3
Environmental Taxes,Turkey,2019,2.09
Environmental Taxes,Turkey,2020,2.63
Taxes on Energy (including fuel for transport),Turkey,1995,0.97
Taxes on Energy (including fuel for transport),Turkey,1996,1.49
Taxes on Energy (including fuel for transport),Turkey,1997,1.6
Taxes on Energy (including fuel for transport),Turkey,1998,1.49
Taxes on Energy (including fuel for transport),Turkey,1999,2.09
Taxes on Energy (including fuel for transport),Turkey,2000,1.91
Taxes on Energy (including fuel for transport),Turkey,2001,2.29
Taxes on Energy (including fuel for transport),Turkey,2002,3.07
Taxes on Energy (including fuel for transport),Turkey,2003,3.2
Taxes on Energy (including fuel for transport),Turkey,2004,2.7
Taxes on Energy (including fuel for transport),Turkey,2005,2.85
Taxes on Energy (including fuel for transport),Turkey,2006,2.58
Taxes on Energy (including fuel for transport),Turkey,2007,2.48
Taxes on Energy (including fuel for transport),Turkey,2008,2.39
Taxes on Energy (including fuel for transport),Turkey,2009,2.54
Taxes on Energy (including fuel for transport),Turkey,2010,2.71
Taxes on Energy (including fuel for transport),Turkey,2011,2.39
Taxes on Energy (including fuel for transport),Turkey,2012,2.27
Taxes on Energy (including fuel for transport),Turkey,2013,2.48
Taxes on Energy (including fuel for transport),Turkey,2014,2.22
Taxes on Energy (including fuel for transport),Turkey,2015,2.16
Taxes on Energy (including fuel for transport),Turkey,2016,2.14
Taxes on Energy (including fuel for transport),Turkey,2017,2.03
Taxes on Energy (including fuel for transport),Turkey,2018,1.48
Taxes on Energy (including fuel for transport),Turkey,2019,1.41
Taxes on Energy (including fuel for transport),Turkey,2020,1.37
Taxes on Pollution,Turkey,1995,0
Taxes on Pollution,Turkey,1996,0
Taxes on Pollution,Turkey,1997,0
Taxes on Pollution,Turkey,1998,0
Taxes on Pollution,Turkey,1999,0
Taxes on Pollution,Turkey,2000,0
Taxes on Pollution,Turkey,2001,0
Taxes on Pollution,Turkey,2002,0
Taxes on Pollution,Turkey,2003,0
Taxes on Pollution,Turkey,2004,0
Taxes on Pollution,Turkey,2005,0
Taxes on Pollution,Turkey,2006,0
Taxes on Pollution,Turkey,2007,0
Taxes on Pollution,Turkey,2008,0
Taxes on Pollution,Turkey,2009,0
Taxes on Pollution,Turkey,2010,0
Taxes on Pollution,Turkey,2011,0
Taxes on Pollution,Turkey,2012,0
Taxes on Pollution,Turkey,2013,0
Taxes on Pollution,Turkey,2014,0
Taxes on Pollution,Turkey,2015,0
Taxes on Pollution,Turkey,2016,0
Taxes on Pollution,Turkey,2017,0
Taxes on Pollution,Turkey,2018,0
Taxes on Pollution,Turkey,2019,0
Taxes on Pollution,Turkey,2020,0
Taxes on Resources,Turkey,1995,0
Taxes on Resources,Turkey,1996,0
Taxes on Resources,Turkey,1997,0
Taxes on Resources,Turkey,1998,0
Taxes on Resources,Turkey,1999,0
Taxes on Resources,Turkey,2000,0
Taxes on Resources,Turkey,2001,0
Taxes on Resources,Turkey,2002,0
Taxes on Resources,Turkey,2003,0
Taxes on Resources,Turkey,2004,0
Taxes on Resources,Turkey,2005,0
Taxes on Resources,Turkey,2006,0
Taxes on Resources,Turkey,2007,0
Taxes on Resources,Turkey,2008,0
Taxes on Resources,Turkey,2009,0
Taxes on Resources,Turkey,2010,0
Taxes on Resources,Turkey,2011,0
Taxes on Resources,Turkey,2012,0
Taxes on Resources,Turkey,2013,0
Taxes on Resources,Turkey,2014,0
Taxes on Resources,Turkey,2015,0
Taxes on Resources,Turkey,2016,0
Taxes on Resources,Turkey,2017,0
Taxes on Resources,Turkey,2018,0
Taxes on Resources,Turkey,2019,0
Taxes on Resources,Turkey,2020,0
Taxes on Transport (excluding fuel for transport),Turkey,1995,0.22
Taxes on Transport (excluding fuel for transport),Turkey,1996,0.27
Taxes on Transport (excluding fuel for transport),Turkey,1997,0.31
Taxes on Transport (excluding fuel for transport),Turkey,1998,0.31
Taxes on Transport (excluding fuel for transport),Turkey,1999,0.44
Taxes on Transport (excluding fuel for transport),Turkey,2000,0.5
Taxes on Transport (excluding fuel for transport),Turkey,2001,0.36
Taxes on Transport (excluding fuel for transport),Turkey,2002,0.38
Taxes on Transport (excluding fuel for transport),Turkey,2003,0.81
Taxes on Transport (excluding fuel for transport),Turkey,2004,0.79
Taxes on Transport (excluding fuel for transport),Turkey,2005,1.08
Taxes on Transport (excluding fuel for transport),Turkey,2006,0.52
Taxes on Transport (excluding fuel for transport),Turkey,2007,0.48
Taxes on Transport (excluding fuel for transport),Turkey,2008,0.84
Taxes on Transport (excluding fuel for transport),Turkey,2009,0.8
Taxes on Transport (excluding fuel for transport),Turkey,2010,0.99
Taxes on Transport (excluding fuel for transport),Turkey,2011,1.07
Taxes on Transport (excluding fuel for transport),Turkey,2012,0.98
Taxes on Transport (excluding fuel for transport),Turkey,2013,1.01
Taxes on Transport (excluding fuel for transport),Turkey,2014,1.03
Taxes on Transport (excluding fuel for transport),Turkey,2015,1.14
Taxes on Transport (excluding fuel for transport),Turkey,2016,1.11
Taxes on Transport (excluding fuel for transport),Turkey,2017,1.06
Taxes on Transport (excluding fuel for transport),Turkey,2018,0.82
Taxes on Transport (excluding fuel for transport),Turkey,2019,0.68
Taxes on Transport (excluding fuel for transport),Turkey,2020,1.26
Environmental Taxes,Uganda,1995,2.42
Environmental Taxes,Uganda,1996,2.67
Environmental Taxes,Uganda,1997,3.23
Environmental Taxes,Uganda,1998,2.75
Environmental Taxes,Uganda,1999,2.58
Environmental Taxes,Uganda,2000,2.3
Environmental Taxes,Uganda,2001,2.12
Environmental Taxes,Uganda,2002,2.26
Environmental Taxes,Uganda,2003,2.18
Environmental Taxes,Uganda,2004,2.03
Environmental Taxes,Uganda,2005,2.25
Environmental Taxes,Uganda,2006,2.6
Environmental Taxes,Uganda,2007,2.86
Environmental Taxes,Uganda,2008,2.86
Environmental Taxes,Uganda,2009,1.58
Environmental Taxes,Uganda,2010,1.64
Environmental Taxes,Uganda,2011,1.49
Environmental Taxes,Uganda,2012,1.55
Environmental Taxes,Uganda,2013,1.39
Environmental Taxes,Uganda,2014,1.56
Environmental Taxes,Uganda,2015,1.61
Environmental Taxes,Uganda,2016,1.65
Environmental Taxes,Uganda,2017,1.76
Environmental Taxes,Uganda,2018,1.82
Environmental Taxes,Uganda,2019,1.84
Taxes on Energy (including fuel for transport),Uganda,1995,2.23
Taxes on Energy (including fuel for transport),Uganda,1996,2.46
Taxes on Energy (including fuel for transport),Uganda,1997,2.98
Taxes on Energy (including fuel for transport),Uganda,1998,2.49
Taxes on Energy (including fuel for transport),Uganda,1999,2.36
Taxes on Energy (including fuel for transport),Uganda,2000,2.11
Taxes on Energy (including fuel for transport),Uganda,2001,1.94
Taxes on Energy (including fuel for transport),Uganda,2002,2.05
Taxes on Energy (including fuel for transport),Uganda,2003,1.93
Taxes on Energy (including fuel for transport),Uganda,2004,1.76
Taxes on Energy (including fuel for transport),Uganda,2005,1.93
Taxes on Energy (including fuel for transport),Uganda,2006,2.2
Taxes on Energy (including fuel for transport),Uganda,2007,2.44
Taxes on Energy (including fuel for transport),Uganda,2008,2.58
Taxes on Energy (including fuel for transport),Uganda,2009,1.42
Taxes on Energy (including fuel for transport),Uganda,2010,1.46
Taxes on Energy (including fuel for transport),Uganda,2011,1.34
Taxes on Energy (including fuel for transport),Uganda,2012,1.41
Taxes on Energy (including fuel for transport),Uganda,2013,1.24
Taxes on Energy (including fuel for transport),Uganda,2014,1.39
Taxes on Energy (including fuel for transport),Uganda,2015,1.43
Taxes on Energy (including fuel for transport),Uganda,2016,1.49
Taxes on Energy (including fuel for transport),Uganda,2017,1.6
Taxes on Energy (including fuel for transport),Uganda,2018,1.65
Taxes on Energy (including fuel for transport),Uganda,2019,1.67
Taxes on Pollution,Uganda,1995,0
Taxes on Pollution,Uganda,1996,0
Taxes on Pollution,Uganda,1997,0
Taxes on Pollution,Uganda,1998,0
Taxes on Pollution,Uganda,1999,0
Taxes on Pollution,Uganda,2000,0
Taxes on Pollution,Uganda,2001,0
Taxes on Pollution,Uganda,2002,0
Taxes on Pollution,Uganda,2003,0
Taxes on Pollution,Uganda,2004,0
Taxes on Pollution,Uganda,2005,0
Taxes on Pollution,Uganda,2006,0.06
Taxes on Pollution,Uganda,2007,0.1
Taxes on Pollution,Uganda,2008,0.11
Taxes on Pollution,Uganda,2009,0.06
Taxes on Pollution,Uganda,2010,0.06
Taxes on Pollution,Uganda,2011,0.05
Taxes on Pollution,Uganda,2012,0.05
Taxes on Pollution,Uganda,2013,0.06
Taxes on Pollution,Uganda,2014,0.06
Taxes on Pollution,Uganda,2015,0.08
Taxes on Pollution,Uganda,2016,0.09
Taxes on Pollution,Uganda,2017,0.08
Taxes on Pollution,Uganda,2018,0.09
Taxes on Pollution,Uganda,2019,0.09
Taxes on Resources,Uganda,1995,0
Taxes on Resources,Uganda,1996,0
Taxes on Resources,Uganda,1997,0
Taxes on Resources,Uganda,1998,0
Taxes on Resources,Uganda,1999,0
Taxes on Resources,Uganda,2000,0
Taxes on Resources,Uganda,2001,0
Taxes on Resources,Uganda,2002,0
Taxes on Resources,Uganda,2003,0
Taxes on Resources,Uganda,2004,0
Taxes on Resources,Uganda,2005,0
Taxes on Resources,Uganda,2006,0
Taxes on Resources,Uganda,2007,0
Taxes on Resources,Uganda,2008,0
Taxes on Resources,Uganda,2009,0
Taxes on Resources,Uganda,2010,0
Taxes on Resources,Uganda,2011,0
Taxes on Resources,Uganda,2012,0
Taxes on Resources,Uganda,2013,0
Taxes on Resources,Uganda,2014,0
Taxes on Resources,Uganda,2015,0
Taxes on Resources,Uganda,2016,0
Taxes on Resources,Uganda,2017,0
Taxes on Resources,Uganda,2018,0
Taxes on Resources,Uganda,2019,0
Taxes on Resources,Uganda,2020,0
Taxes on Transport (excluding fuel for transport),Uganda,1995,0.19
Taxes on Transport (excluding fuel for transport),Uganda,1996,0.21
Taxes on Transport (excluding fuel for transport),Uganda,1997,0.25
Taxes on Transport (excluding fuel for transport),Uganda,1998,0.26
Taxes on Transport (excluding fuel for transport),Uganda,1999,0.21
Taxes on Transport (excluding fuel for transport),Uganda,2000,0.19
Taxes on Transport (excluding fuel for transport),Uganda,2001,0.18
Taxes on Transport (excluding fuel for transport),Uganda,2002,0.21
Taxes on Transport (excluding fuel for transport),Uganda,2003,0.24
Taxes on Transport (excluding fuel for transport),Uganda,2004,0.28
Taxes on Transport (excluding fuel for transport),Uganda,2005,0.33
Taxes on Transport (excluding fuel for transport),Uganda,2006,0.35
Taxes on Transport (excluding fuel for transport),Uganda,2007,0.31
Taxes on Transport (excluding fuel for transport),Uganda,2008,0.16
Taxes on Transport (excluding fuel for transport),Uganda,2009,0.1
Taxes on Transport (excluding fuel for transport),Uganda,2010,0.12
Taxes on Transport (excluding fuel for transport),Uganda,2011,0.1
Taxes on Transport (excluding fuel for transport),Uganda,2012,0.09
Taxes on Transport (excluding fuel for transport),Uganda,2013,0.09
Taxes on Transport (excluding fuel for transport),Uganda,2014,0.11
Taxes on Transport (excluding fuel for transport),Uganda,2015,0.1
Taxes on Transport (excluding fuel for transport),Uganda,2016,0.07
Taxes on Transport (excluding fuel for transport),Uganda,2017,0.07
Taxes on Transport (excluding fuel for transport),Uganda,2018,0.08
Taxes on Transport (excluding fuel for transport),Uganda,2019,0.07
Environmental Taxes,Ukraine,2015,0.135327154
Environmental Taxes,Ukraine,2016,0.209084807
Environmental Taxes,Ukraine,2017,0.157511432
Environmental Taxes,Ukraine,2018,0.138232656
Environmental Taxes,Ukraine,2019,0.153187596
Taxes on Energy (including fuel for transport),Ukraine,1995,0
Taxes on Energy (including fuel for transport),Ukraine,1996,0
Taxes on Energy (including fuel for transport),Ukraine,1997,0
Taxes on Energy (including fuel for transport),Ukraine,1998,0
Taxes on Energy (including fuel for transport),Ukraine,2002,0.68
Taxes on Energy (including fuel for transport),Ukraine,2003,0.74
Taxes on Energy (including fuel for transport),Ukraine,2004,0.69
Taxes on Energy (including fuel for transport),Ukraine,2005,0.65
Taxes on Energy (including fuel for transport),Ukraine,2006,0.5
Taxes on Energy (including fuel for transport),Ukraine,2007,0.43
Taxes on Energy (including fuel for transport),Ukraine,2008,0.37
Taxes on Energy (including fuel for transport),Ukraine,2009,0.64
Taxes on Energy (including fuel for transport),Ukraine,2010,0.59
Taxes on Energy (including fuel for transport),Ukraine,2011,0.68
Taxes on Energy (including fuel for transport),Ukraine,2012,0.77
Taxes on Energy (including fuel for transport),Ukraine,2013,0.54
Taxes on Energy (including fuel for transport),Ukraine,2014,1.01
Taxes on Energy (including fuel for transport),Ukraine,2015,1.43
Taxes on Energy (including fuel for transport),Ukraine,2017,1.94
Taxes on Energy (including fuel for transport),Ukraine,2018,1.8
Taxes on Energy (including fuel for transport),Ukraine,2019,1.55
Taxes on Pollution,Ukraine,1995,0
Taxes on Pollution,Ukraine,1996,0
Taxes on Pollution,Ukraine,1997,0
Taxes on Pollution,Ukraine,1998,0
Taxes on Pollution,Ukraine,1999,0
Taxes on Pollution,Ukraine,2000,0
Taxes on Pollution,Ukraine,2001,0
Taxes on Pollution,Ukraine,2002,0
Taxes on Pollution,Ukraine,2003,0
Taxes on Pollution,Ukraine,2004,0
Taxes on Pollution,Ukraine,2005,0
Taxes on Pollution,Ukraine,2006,0
Taxes on Pollution,Ukraine,2007,0
Taxes on Pollution,Ukraine,2008,0
Taxes on Pollution,Ukraine,2009,0
Taxes on Pollution,Ukraine,2010,0.25
Taxes on Pollution,Ukraine,2011,0.21
Taxes on Pollution,Ukraine,2012,0.26
Taxes on Pollution,Ukraine,2013,0.33
Taxes on Pollution,Ukraine,2014,0.34
Taxes on Pollution,Ukraine,2015,0.19
Taxes on Pollution,Ukraine,2016,0.33
Taxes on Pollution,Ukraine,2017,0.24
Taxes on Pollution,Ukraine,2018,0.2
Taxes on Pollution,Ukraine,2019,0.19
Taxes on Resources,Ukraine,1995,0
Taxes on Resources,Ukraine,1996,0
Taxes on Resources,Ukraine,1997,0
Taxes on Resources,Ukraine,1998,0
Taxes on Resources,Ukraine,1999,0
Taxes on Resources,Ukraine,2000,0
Taxes on Resources,Ukraine,2001,0
Taxes on Resources,Ukraine,2002,0
Taxes on Resources,Ukraine,2003,0
Taxes on Resources,Ukraine,2004,0
Taxes on Resources,Ukraine,2005,0
Taxes on Resources,Ukraine,2006,0
Taxes on Resources,Ukraine,2007,0
Taxes on Resources,Ukraine,2008,0
Taxes on Resources,Ukraine,2009,0
Taxes on Resources,Ukraine,2010,0
Taxes on Resources,Ukraine,2011,0
Taxes on Resources,Ukraine,2012,0
Taxes on Resources,Ukraine,2013,0
Taxes on Resources,Ukraine,2014,0
Taxes on Resources,Ukraine,2015,0
Taxes on Resources,Ukraine,2016,0
Taxes on Resources,Ukraine,2017,0
Taxes on Resources,Ukraine,2018,0
Taxes on Resources,Ukraine,2019,0
Taxes on Resources,Ukraine,2020,0
Taxes on Transport (excluding fuel for transport),Ukraine,2002,0.11
Taxes on Transport (excluding fuel for transport),Ukraine,2003,0.17
Taxes on Transport (excluding fuel for transport),Ukraine,2004,0.11
Taxes on Transport (excluding fuel for transport),Ukraine,2005,0.04
Taxes on Transport (excluding fuel for transport),Ukraine,2006,0.04
Taxes on Transport (excluding fuel for transport),Ukraine,2007,0.04
Taxes on Transport (excluding fuel for transport),Ukraine,2008,0.04
Taxes on Transport (excluding fuel for transport),Ukraine,2009,0.04
Taxes on Transport (excluding fuel for transport),Ukraine,2010,0.06
Taxes on Transport (excluding fuel for transport),Ukraine,2011,0.08
Taxes on Transport (excluding fuel for transport),Ukraine,2012,0.08
Taxes on Transport (excluding fuel for transport),Ukraine,2013,0.08
Taxes on Transport (excluding fuel for transport),Ukraine,2014,0.06
Taxes on Transport (excluding fuel for transport),Ukraine,2015,0.12
Taxes on Transport (excluding fuel for transport),Ukraine,2016,0.11
Taxes on Transport (excluding fuel for transport),Ukraine,2017,0.12
Taxes on Transport (excluding fuel for transport),Ukraine,2018,0.11
Taxes on Transport (excluding fuel for transport),Ukraine,2019,0.2
Environmental Taxes,United Kingdom,1995,2.45
Environmental Taxes,United Kingdom,1996,2.5
Environmental Taxes,United Kingdom,1997,2.54
Environmental Taxes,United Kingdom,1998,2.72
Environmental Taxes,United Kingdom,1999,2.76
Environmental Taxes,United Kingdom,2000,2.66
Environmental Taxes,United Kingdom,2001,2.48
Environmental Taxes,United Kingdom,2002,2.46
Environmental Taxes,United Kingdom,2003,2.41
Environmental Taxes,United Kingdom,2004,2.39
Environmental Taxes,United Kingdom,2005,2.25
